Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,THYSSENKRUPP ELEVATOR (UK) LIMITED,06/06/2013,380,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,HARROW GREEN LIMITED,06/06/2013,4729.04,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SENATOR INTERNATIONAL,06/06/2013,10039.8,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,06/06/2013,294.94,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,06/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,06/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,HARROW GREEN LIMITED,06/06/2013,4493.5,,,,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,AQUILA BUSINESS PRODUCTS LTD,06/06/2013,3880,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,04/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,21/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,21/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,21/06/2013,192.5,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Iso Covers Ltd,20/06/2013,353,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Iso Covers Ltd,20/06/2013,708.5,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Iso Covers Ltd,20/06/2013,332,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Iso Covers Ltd,20/06/2013,561,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,20/06/2013,3052.9,,,,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,UK GAS CONNECTION,27/06/2013,7256.15,,,,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,LOCSAFE SECURITY SYSTEMS,24/06/2013,793.5,,,,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,JOHNSON CONTROLS LTD,27/06/2013,472.5,,,,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,JOHNSON CONTROLS LTD,27/06/2013,3700,,,,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,AMEC ENVIRONMENT & INFRASTRUCTURE UK LTD,27/06/2013,315,,,,,,,,
"Development, Business & Housing",Property & Design,WFAS,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,20/06/2013,1829.1,,,,,,,,
"Development, Business & Housing",Property & Design,WFAS,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,20/06/2013,8021,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,JGS Electrical,18/06/2013,1045,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,JGS Electrical,18/06/2013,1785.4,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,18/06/2013,1625.3,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,JGS Electrical,10/06/2013,3840,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,JGS Electrical,10/06/2013,7141.6,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,18/06/2013,802.5,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,19/06/2013,17356.5,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,19/06/2013,6127.5,,,,,,,,
"Development, Business & Housing",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,SCOTTISH POWER PLC,25/06/2013,823.09,,,,,,,,
"Development, Business & Housing",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,SPECIALIST COMPUTERS CENTRES PLC,24/06/2013,188.89,,,,,,,,
"Development, Business & Housing",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,R82 UK LIMITED,06/06/2013,112,,,,,,,,
"Development, Business & Housing",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,SPECIALIST COMPUTERS CENTRES PLC,05/06/2013,410.04,,,,,,,,
"Development, Business & Housing",Property & Design,WGBS,Supplies & Services,Furniture - Purchase,JCM SEATING SOLUTIONS,27/06/2013,1698.39,,,,,,,,
"Development, Business & Housing",Property & Design,WGCB,Capital Expenditure,Payments to Contractor,NORMANS MUSICAL INSTRUMENTS,04/06/2013,670.78,,,,,,,,
"Development, Business & Housing",Property & Design,WGCB,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,25/06/2013,954.6,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,04/06/2013,10620.76,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,04/06/2013,1225,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,04/06/2013,4551.76,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,10/06/2013,10412,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,18/06/2013,750,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,INVISIBLE SYSTEMS LTD,18/06/2013,4173.45,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2013,595,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Plan Environment Services Fees,Impartica IT Training,21/06/2013,841.5,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,27/06/2013,250,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,27/06/2013,175,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,20/06/2013,4106,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,20/06/2013,5794,,,,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,GRA-BERN,20/06/2013,172.05,,,,,,,,
"Development, Business & Housing",Property & Design,WINE,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2013,469.95,,,,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,13/06/2013,49638,,,,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,20/06/2013,23059.9,,,,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,25/06/2013,3243,,,,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,WREKIN DRAIN SERVICES LTD,20/06/2013,1490,,,,,,,,
"Development, Business & Housing",Property & Design,WPIR,Capital Expenditure,Plan Environment Services Fees,MOTT MACDONALD LIMITED,05/06/2013,9948.07,,,,,,,,
"Development, Business & Housing",Property & Design,WPJF,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/06/2013,543.59,,,,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,J Harper & Sons (Leominster) Ltd,14/06/2013,92591.46,,,,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,18/06/2013,490.87,,,,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,18/06/2013,1521.5,,,,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,04/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,14/06/2013,81761.64,,,,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,192.5,,,,,,,,
"Development, Business & Housing",Property & Design,WPRH,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,13/06/2013,22608.75,,,,,,,,
"Development, Business & Housing",Property & Design,WPSW,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,20/06/2013,168.57,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,Environmental Essentials Ltd,18/06/2013,1851,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,04/06/2013,8486.82,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,04/06/2013,1776.32,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,04/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,04/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,Lowfield Timber Frames Ltd,05/06/2013,12480.47,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,G A Young Associates,20/06/2013,7410,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,165,,,,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,20/06/2013,495,,,,,,,,
"Development, Business & Housing",Property & Design,WPWB,Capital Expenditure,Payments to Contractor,SOVEREIGN PLANNED SERVICES LIMITED,20/06/2013,3616.08,,,,,,,,
"Development, Business & Housing",Property & Design,WPWL,Capital Expenditure,Building Regs & Planning Fees,ZEBRA ARCHITECTS,04/06/2013,1057.5,,,,,,,,
"Development, Business & Housing",Property & Design,WXHS,Capital Expenditure,Payments to Contractor,SPACECARE,20/06/2013,13495,,,,,,,,
"Development, Business & Housing",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,802.5,,,,,,,,
"Development, Business & Housing",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,1872.5,,,,,,,,
"Development, Business & Housing",Property Investment,WCAJ,Capital Expenditure,Other Capital Expenditure,TELFORD INTERNATIONAL CENTRE,28/06/2013,175,,,,,,,,
"Development, Business & Housing",Property Investment,WCAJ,Capital Expenditure,Other Capital Expenditure,TELFORD INTERNATIONAL CENTRE,28/06/2013,600,,,,,,,,
"Development, Business & Housing",Property Investment,WCAJ,Capital Expenditure,Marketing / Advertising,CORE,28/06/2013,1810,,,,,,,,
"Development, Business & Housing",Property Investment,WCAJ,Capital Expenditure,Marketing / Advertising,TELFORD INTERNATIONAL CENTRE,18/06/2013,225,,,,,,,,
"Development, Business & Housing",Property Investment,WCJB,Capital Expenditure,Payments to Contractor,SHAWS TRAVEL LTD,19/06/2013,150,,,,,,,,
"Development, Business & Housing",Property Investment,WCJB,Capital Expenditure,Payments to Contractor,SHAWS TRAVEL LTD,19/06/2013,150,,,,,,,,
"Development, Business & Housing",Property Investment,WCJB,Capital Expenditure,Payments to Contractor,SHAWS TRAVEL LTD,28/06/2013,150,,,,,,,,
"Development, Business & Housing",Property Investment,WCJB,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,03/06/2013,30390.09,,,,,,,,
"Development, Business & Housing",Property Investment,WCJB,Capital Expenditure,Payments to Contractor,SHAWS TRAVEL LTD,19/06/2013,150,,,,,,,,
"Development, Business & Housing",Property Investment,WCSP,Capital Expenditure,Building Regs & Planning Fees,WARDELL ARMSTRONG,12/06/2013,2550,,,,,,,,
"Development, Business & Housing",Property Investment,WCSP,Capital Expenditure,External Professional Fees,HALCROW GROUP LIMTED,13/06/2013,300,,,,,,,,
"Development, Business & Housing",Property Investment,WCSP,Capital Expenditure,External Professional Fees,RPS DESIGN LTD,04/06/2013,1449.37,,,,,,,,
"Development, Business & Housing",Property Investment,WGNE,Capital Expenditure,External Professional Fees,FPCR ENVIRONMENT & DESIGN LTD,19/06/2013,9632.5,,,,,,,,
"Development, Business & Housing",Property Investment,WGNE,Capital Expenditure,Payments to Contractor,WRA Limited,03/06/2013,350,,,,,,,,
"Development, Business & Housing",Property Investment,WGNE,Capital Expenditure,External Professional Fees,Cheetham & Mortimer,04/06/2013,7250,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAC,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/06/2013,5136.42,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAC,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,13/06/2013,3916.72,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAC,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,18/06/2013,227.33,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAC,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,18/06/2013,1296.12,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAC,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,18/06/2013,370.18,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,17/06/2013,2235.42,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,26/06/2013,428.39,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,ASLES (TOOL HIRE & SALES) LTD,19/06/2013,288,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/06/2013,1138.64,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/06/2013,386.04,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,ASLES (TOOL HIRE & SALES) LTD,17/06/2013,288,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/06/2013,1430.08,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Premises-Related Expenditure,Building Cleaning DSO,FCC RECYCLING (UK) LIMITED,26/06/2013,548.6,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,17/06/2013,2586.72,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,13/06/2013,105,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,13/06/2013,1865.43,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Supplies & Services,Telephones,MIDLAND TML,18/06/2013,563.37,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,26/06/2013,273.3,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,PRYCE (BUILDERS) LTD,03/06/2013,1065,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,07/06/2013,987,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,NOBRIDGE LTD,07/06/2013,7700,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,07/06/2013,418,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,416.88,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,201,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,1020,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,2380,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,OPUS ENERGY LTD,17/06/2013,159.48,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,18/06/2013,229.76,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,17/06/2013,174.12,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,3465,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,26/06/2013,360,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,26/06/2013,457.76,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,26/06/2013,2827.69,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2013,3523.7,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2013,3843,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,20/06/2013,581.97,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,05/06/2013,223.34,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/06/2013,1530,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/06/2013,6633.32,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,17/06/2013,104.82,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,17/06/2013,236.47,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS (ELECTRICITY),17/06/2013,110.46,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/06/2013,1485,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,10/06/2013,535,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,10/06/2013,290,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,10/06/2013,367.3,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC INSURANCE BROKERS LTD,13/06/2013,1500,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,13/06/2013,10075,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,13/06/2013,5668.87,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,COMBINED PROPERTY CONTROL,24/06/2013,110150.73,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,06/06/2013,22021.16,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,13/06/2013,392.62,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,264.49,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,300.72,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,224.4,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/06/2013,324.2,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,469.26,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,258.88,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,289.12,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,172.82,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/06/2013,2215.66,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,578.76,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,449.5,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,663.8,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,239.77,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/06/2013,346.09,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,17/06/2013,140.25,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,VEOLIA ES (UK) LTD,28/06/2013,157.08,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,13/06/2013,172.34,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,SHROPSHIRE ROADSWEEPERS,13/06/2013,259.25,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,03/06/2013,452.82,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,18/06/2013,150,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,NPOWER,18/06/2013,2380.41,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,FCC RECYCLING (UK) LIMITED,18/06/2013,189.15,,,,,,,,
"Development, Business & Housing",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,PROKILL UK LIMITED,03/06/2013,105.5,,,,,,,,
