Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
"Business, Development & Employment",Skills,Third Party Payments,DSG - High Needs Block,Options College Shifnal BESD (1),16/07/2018,13330.73
"Business, Development & Employment",Skills,Third Party Payments,DSG - High Needs Block,National Star College,26/07/2018,49191
"Business, Development & Employment",Skills,Third Party Payments,Residential Expenditure,Options Higford (Options Autism (5) Limited,19/07/2018,24003.81
"Business, Development & Employment",Skills,Third Party Payments,Residential Expenditure,Options Higford (Options Autism (5) Limited,19/07/2018,31250.24
"Business, Development & Employment",Skills,Third Party Payments,DSG - High Needs Block,Options Higford (Options Autism (5) Limited,26/07/2018,38014
Children's Safeguarding,Child Protection & Family Support,contribution to provision,legal,HM Courts and Tribunal service,16/07/2018,4795
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,09/07/2018,425
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,09/07/2018,325
Commercial Services,ICT,Supplies & Services,Telecomms,Airband Community Internet,19/07/2018,295
Commercial Services,ICT,Supplies & Services,Telecomms,Airband Community Internet,03/07/2018,295
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),ScholarPack,17/07/2018,1220
Commercial Services,ICT,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC ,23/07/2018,2566.52
Commercial Services,ICT,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,06/07/2018,2542.93
Commercial Services,ICT,Supplies & Services,Text Messages,PROCESS FLOWS UK LTD,06/07/2018,286.47
Commercial Services,ICT,Supplies & Services,Mobile Phones,EE LTD AIRTIME ,16/07/2018,10464.86
Commercial Services,ICT,Supplies & Services,Mobile Phones,EE LTD AIRTIME ,16/07/2018,9539.81
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,10/07/2018,188.4
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,09/07/2018,1477
Commercial Services,ICT,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,03/07/2018,10874.46
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Bromcom Computers Plc,20/07/2018,58996.5
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),Getech Ltd,16/07/2018,500
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,23/07/2018,104027.7
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,23/07/2018,1902.42
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,23/07/2018,1161.76
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,31/07/2018,491183
Commercial Services,ICT,Supplies & Services,Telecomms,Vodafone Limited,27/07/2018,3377.34
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),ESRI (UK) CAMBRIDGE LTD,16/07/2018,423.5
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,10/07/2018,2968
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,31/07/2018,214.8
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,31/07/2018,243.4
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,31/07/2018,262.45
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,31/07/2018,295.3
Commercial Services,ICT,Supplies & Services,Telecomms,EUROPEAN ELECTRONIQUE LTD,09/07/2018,216
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,09/07/2018,194.28
Commercial Services,ICT,Supplies & Services,Telecomms,STONELEIGH CONSULTANCY LTD,31/07/2018,525.65
Commercial Services,ICT,Supplies & Services,Telecomms,Airband Community Internet,20/07/2018,250
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Quest Software International Limited,31/07/2018,59999.97
Commercial Services,ICT,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,24/07/2018,107.5
Commercial Services,ICT,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,02/07/2018,537.5
Commercial Services,ICT,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,02/07/2018,107.5
Commercial Services,ICT,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,02/07/2018,322.5
Commercial Services,ICT,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,30/07/2018,107.5
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,09/07/2018,651488.7
Commercial Services,ICT,Capital Expenditure,Computer Software,Pitney Bowes Software Europe Limited,20/07/2018,5700
Commercial Services,ICT,Capital Expenditure,Computer Hardware,CAPITA IT SERVICES LIMITED,23/07/2018,1938.06
Commercial Services,ICT,Capital Expenditure,Computer Hardware,CAPITA IT SERVICES LIMITED,23/07/2018,1622.75
Commercial Services,ICT,Capital Expenditure,Computer Hardware,CAPITA IT SERVICES LIMITED,23/07/2018,1622.75
Commercial Services,ICT,Capital Expenditure,Computer Hardware,CAPITA IT SERVICES LIMITED,23/07/2018,2965.56
Commercial Services,ICT,Capital Expenditure,Computer Hardware,CAPITA IT SERVICES LIMITED,23/07/2018,5928.56
Commercial Services,ICT,Capital Expenditure,Computer Hardware,PP ELECTRICAL SERVICES (Shropshire) Ltd,12/07/2018,140
Commercial Services,ICT,Capital Expenditure,Computer Software,NORTHGATEARINSO UK LTD,03/07/2018,2887.5
Commercial Services,ICT,Capital Expenditure,Payments to Contractor,NORTHGATEARINSO UK LTD,16/07/2018,2250
Commercial Services,ICT,Capital Expenditure,Payments to Contractor,NORTHGATEARINSO UK LTD,16/07/2018,5341.65
Commercial Services,ICT,Capital Expenditure,Payments to Contractor,NORTHGATEARINSO UK LTD,16/07/2018,5869.65
Commercial Services,ICT,Capital Expenditure,Payments to Contractor,NORTHGATEARINSO UK LTD,16/07/2018,1000.28
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/07/2018,382
Commercial Services,Property & Design (BiT),Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,31/07/2018,431.63
Commercial Services,Property & Design (BiT),Supplies & Services,Printing - Other,STANFORD MARSH FINANCE LTD,19/07/2018,123.32
Commercial Services,Property & Design (BiT),Supplies & Services,Printing - Other,STANFORD MARSH FINANCE LTD,19/07/2018,763
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,24/07/2018,1844.8
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,24/07/2018,1741.2
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,24/07/2018,898.88
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,24/07/2018,1146.8
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,27/07/2018,1146.8
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,27/07/2018,1844.8
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,13/07/2018,898.88
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,17/07/2018,1741.2
Commercial Services,Property & Design (BiT),Employees,Staff Training,Synergie Training Ltd,03/07/2018,4285
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,HYDRO-TECH ENVIRONMENTAL LLP,19/07/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,HYDRO-TECH ENVIRONMENTAL LLP,19/07/2018,345
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,HYDRO-TECH ENVIRONMENTAL LLP,19/07/2018,360
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,HYDRO-TECH ENVIRONMENTAL LLP,13/07/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,230.4
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/07/2018,148.73
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/07/2018,1697
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,03/07/2018,796.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,09/07/2018,663.37
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,200
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,134.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,265.14
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,228.99
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,110.3
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/07/2018,136.1
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,20/07/2018,171.34
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,03/07/2018,340
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,20/07/2018,240
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,20/07/2018,144
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,20/07/2018,1200
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,20/07/2018,485
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,20/07/2018,264
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,20/07/2018,817.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,20/07/2018,387.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,20/07/2018,566.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,03/07/2018,175
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,760
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,140
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/07/2018,300
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,297.3
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,111
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,402
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,307.62
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,13/07/2018,127.78
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,09/07/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,03/07/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,03/07/2018,186.2
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,03/07/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,05/07/2018,616
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,09/07/2018,170
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,09/07/2018,165
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,318.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,191.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,255
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,191.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,255
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,3279.15
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,191.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,1465.14
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,171.33
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,191.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,194
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,589.17
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,382.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,318.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,255
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,272
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,231.61
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,382.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,184.4
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/07/2018,603.79
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,20/07/2018,170.1
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,09/07/2018,217.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,05/07/2018,343.7
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,05/07/2018,263.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,05/07/2018,313.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,05/07/2018,203.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,05/07/2018,287.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,20/07/2018,113.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,13/07/2018,113.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,13/07/2018,145.4
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,REDACTED PERSONAL ,24/07/2018,371.38
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,REDACTED PERSONAL ,03/07/2018,147.4
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,24/07/2018,105.1
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,LOCSAFE SECURITY SYSTEMS,24/07/2018,388.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,NYKE ENERGY SERVICES LIMITED,20/07/2018,166.73
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,05/07/2018,115
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,250
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,05/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,05/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,05/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,05/07/2018,243
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,03/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,19/07/2018,340
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,24/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,24/07/2018,185
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,09/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,09/07/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,G M TREBLE LTD,19/07/2018,109.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN SERVICES LTD,24/07/2018,769.16
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JOHNSON CONTROLS LTD,24/07/2018,639.03
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JOHNSON CONTROLS LTD,27/07/2018,946.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,MK Door Systems Ltd T/A Style Midlands,24/07/2018,163
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,NOBRIDGE LTD,12/07/2018,6078.52
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Preventative Maintenance,Oakleaf Ground Services,19/07/2018,267.44
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,24/07/2018,15751.73
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,QUICK SKIPS (TELFORD) LTD,17/07/2018,400
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WENLOCK HEALTH & SAFETY LTD,05/07/2018,399.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,16/07/2018,701.49
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,05/07/2018,2132.35
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,24/07/2018,1067.07
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,24/07/2018,1098.51
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/07/2018,1195
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,16/07/2018,425
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,16/07/2018,270
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,20/07/2018,213
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,20/07/2018,283
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,20/07/2018,121.85
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/07/2018,971.93
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,George Birchall Limited,09/07/2018,318.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/07/2018,340
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,05/07/2018,458.38
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,HARROW GREEN LIMITED,05/07/2018,171
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,20/07/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,09/07/2018,390.4
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,SOUTHERN ELECTRIC,05/07/2018,273.19
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,1015.11
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,104.13
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,163.16
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,2771.41
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,1064
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,136.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,214.2
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,153.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),20/07/2018,324.48
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),20/07/2018,642.57
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,509.87
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,105.36
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/07/2018,152.69
