Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE ,23/02/2018,2904.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE ,23/02/2018,2675.64
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE ,26/02/2018,2522.8
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,20/02/2018,3155.6
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,20/02/2018,3049.96
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,21/02/2018,3037.88
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,21/02/2018,3155.6
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,ORANGE GROVE FOSTERCARE LTD,20/02/2018,3160.08
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,ORANGE GROVE FOSTERCARE LTD,20/02/2018,4740.12
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,ORANGE GROVE FOSTERCARE LTD,20/02/2018,2500.12
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,ORANGE GROVE FOSTERCARE LTD,20/02/2018,3116.12
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,ORANGE GROVE FOSTERCARE LTD,20/02/2018,3160.08
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,ORANGE GROVE FOSTERCARE LTD,21/02/2018,4980.08
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/02/2018,3167.27
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,12/02/2018,3311.73
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/02/2018,3449.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,20/02/2018,5899.88
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,15/02/2018,2949.34
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,14/02/2018,3348
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,By The Bridge,20/02/2018,3996
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,20/02/2018,4859.96
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,21/02/2018,4740
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,21/02/2018,4740
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,21/02/2018,3940
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,21/02/2018,2639.8
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,22/02/2018,1125.71
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,REGIONAL FOSTER PLACEMENTS,15/02/2018,3210.67
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,REGIONAL FOSTER PLACEMENTS,15/02/2018,932.13
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,COMPASS FOSTERING CENTRAL LTD,20/02/2018,2989.28
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,15/02/2018,2302.8
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,01/02/2018,208.8
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,14/02/2018,3568.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,1918.04
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,1918.04
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,3497.73
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,3497.73
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,1761.54
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,1761.54
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,3212.22
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,22/02/2018,3212.22
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,12/02/2018,3497.73
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,13/02/2018,3604.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,20/02/2018,-1918.04
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,20/02/2018,-1918.04
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,20/02/2018,-3497.73
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,20/02/2018,-3497.73
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Children Always First,01/02/2018,3631.43
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Children Always First,01/02/2018,3476.43
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Children Always First,01/02/2018,2929.5
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Children Always First,01/02/2018,3255
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Children Always First,02/02/2018,3372.13
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Children Always First,02/02/2018,2770.07
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,St Christopher's Fellowship,01/02/2018,3406.9
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,St Christopher's Fellowship,05/02/2018,3406.9
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,St Christopher's Fellowship,23/02/2018,3077.2
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,Match Foster Care Ltd,21/02/2018,3944.08
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,External Foster Care Payments,The Children's Family Trust,20/02/2018,2999.92
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,20/02/2018,103.6
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,16/02/2018,118.03
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,AMBERLEIGH CARE LIMITED,01/02/2018,14312.7
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,AMBERLEIGH CARE LIMITED,20/02/2018,12927.6
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Oracle Care Limited,20/02/2018,18000
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Northumberland County Council,22/02/2018,12525
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Bryn Melyn Care Ltd,12/02/2018,13485
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Bryn Melyn Care Ltd,22/02/2018,15951
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,HORIZON CARE & EDUCATION GROUP LTD,13/02/2018,13644.34
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,HORIZON CARE & EDUCATION GROUP LTD,21/02/2018,12323.92
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,15/02/2018,2916
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,21/02/2018,14199.92
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,NEW HORIZONS CHILD CARE LTD,20/02/2018,13599.88
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,PRESTIGE ADOLESCENT CARE & EDUCATION,21/02/2018,10800.16
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,ST ANDREW'S HEALTHCARE,01/02/2018,8925.3
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,MGM CARE SERVICES LTD,20/02/2018,10799.88
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,CARE TODAY CHILDRENS SERVICES,12/02/2018,12599.29
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,CARE TODAY CHILDRENS SERVICES,13/02/2018,3046.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Unity Residential Care Services Ltd,07/02/2018,11336.08
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Unity Residential Care Services Ltd,20/02/2018,11536
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Coram Voice,07/02/2018,769.42
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,West Kirby Residential School,15/02/2018,32774
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Future in Mind Ltd,21/02/2018,13961.7
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Quality Protects Children Ltd,01/02/2018,20305
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Quality Protects Children Ltd,22/02/2018,20305
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Positive Outcomes Childcare Ltd,15/02/2018,12842.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Positive Outcomes Childcare Ltd,22/02/2018,8800.12
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Positive Outcomes Childcare Ltd,22/02/2018,11792.99
Children's Safeguarding,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Third Party Payments,Residential Expenditure,Reacted Personal Information,23/02/2018,25446.66
Children's Safeguarding,Safeguarding Advisory,Supplies & Services,Other Services,The Children's Society (Services) Ltd,23/02/2018,2475
Children's Safeguarding,Safeguarding Advisory,Supplies & Services,Other Services,The Children's Society (Services) Ltd,23/02/2018,2475
Children's Safeguarding,Safeguarding Advisory,Third Party Payments,Interpreters Fees,Premium Linguistic Services,22/02/2018,117.48
Children's Safeguarding,Safeguarding Advisory,Employees,Training Expenses,NSPCC REGISTERED CHARITY,23/02/2018,1000
Children's Safeguarding,Safeguarding Advisory,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,20/02/2018,222.3
Children's Safeguarding,Safeguarding Advisory,Supplies & Services,Supportive Lodgings,Select Care Solutions Ltd,28/02/2018,664.29
Children's Safeguarding,Safeguarding Advisory,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,22/02/2018,3139.5
Children's Safeguarding,Safeguarding Advisory,Employees,Training Expenses,UNIVERSITY OF WOLVERHAMPTON ,06/02/2018,175
Children's Safeguarding,Safeguarding Advisory,Employees,Recruitment Advertising,Onefix Recruitment Ltd,06/02/2018,4274
Children's Safeguarding,Safeguarding Advisory,Employees,Other Employee Costs,Slater and Gordon(UK) LLP,06/02/2018,291.67
Children's Safeguarding,Safeguarding Advisory,Supplies & Services,Comp Software (Purch / Hire),LIQUIDLOGIC LIMITED,06/02/2018,416.66
Children's Safeguarding,Safeguarding Advisory,Supplies & Services,Registration / Licence Fees,MA EDUCATION LTD,06/02/2018,6953
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,257.73
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,111.4
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,101.27
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,137.04
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,101.27
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,119.6
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,174.6
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,155.84
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,134.03
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,260
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,117.1
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,101.52
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,01/02/2018,104.05
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,174.14
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,103.66
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,260
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,130.69
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,129.12
Commercial Services,Catering,Supplies & Services,Equipment - Purchase,NUMATIC INTERNATIONAL LTD,13/02/2018,675.6
Commercial Services,Catering,Supplies & Services,Equipment - Purchase,NUMATIC INTERNATIONAL LTD,01/02/2018,1605.52
Commercial Services,Catering,Supplies & Services,Equipment - Purchase,NUMATIC INTERNATIONAL LTD,20/02/2018,1605.52
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,195.03
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,120.78
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,157.32
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,170.07
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,216.82
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,197.66
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,164.98
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,165.05
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,375.93
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,226.49
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,223.21
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,135.94
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,256.58
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,497.3
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,128.04
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,108.5
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,134.52
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,116.7
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,01/02/2018,214.58
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,163.74
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,140.1
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,134.66
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,479.46
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/02/2018,104.37
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/02/2018,120.38
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,189.24
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,192.77
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,139.08
Commercial Services,Catering,Supplies & Services,Equipment - Purchase,Ivo Group Ltd,12/02/2018,2650
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,112.99
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/02/2018,179.6
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,12/02/2018,157.2
Commercial Services,Catering,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/02/2018,206.85
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,20/02/2018,1850
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,20/02/2018,1240
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,22/02/2018,1250
Commercial Services,ICT,Supplies & Services,Telecomms,Airband Community Internet,01/02/2018,295
Commercial Services,ICT,Supplies & Services,Telecomms,JANDU TECHNOLOGIES LTD t/a LEEGOMERY COMPUTERS,12/02/2018,240
Commercial Services,ICT,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC ,01/02/2018,3211.3
Commercial Services,ICT,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/02/2018,188.38
Commercial Services,ICT,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/02/2018,175.35
Commercial Services,ICT,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/02/2018,152.85
Commercial Services,ICT,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/02/2018,139.88
Commercial Services,ICT,Supplies & Services,Mobile Phones,EE LTD AIRTIME ,08/02/2018,13369.61
Commercial Services,ICT,Supplies & Services,Mobile Phones,EE LTD AIRTIME ,08/02/2018,6794.56
Commercial Services,ICT,Supplies & Services,Security Services,SECURITY WISE LTD,22/02/2018,569
Commercial Services,ICT,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,02/02/2018,11570.35
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),DIGICARE,08/02/2018,250
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,26/02/2018,14400
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Bromcom Computers Plc,28/02/2018,2054.08
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Bromcom Computers Plc,28/02/2018,761.11
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Bromcom Computers Plc,28/02/2018,8961.48
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Bromcom Computers Plc,28/02/2018,-6612.27
Commercial Services,ICT,Supplies & Services,Comp Software (Purch / Hire),Bromcom Computers Plc,28/02/2018,2610.9
Commercial Services,ICT,Premises-Related Expenditure,Service Contracts,AVK/SEG (UK) Ltd,14/02/2018,2207.55
Commercial Services,ICT,Premises-Related Expenditure,Service Contracts,AVK/SEG (UK) Ltd,14/02/2018,2643.43
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,3920
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,193
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,228
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,141
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,579
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,4619
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,545
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,335
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,170
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,1971
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,965
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,06/02/2018,-209.59
Commercial Services,ICT,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/02/2018,464.01
Commercial Services,ICT,Supplies & Services,Telecomms,RIPE NCC,01/02/2018,1040.77
Commercial Services,ICT,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,22/02/2018,143.24
Commercial Services,ICT,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,27/02/2018,144
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,06/02/2018,623.22
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,01/02/2018,123
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,02/02/2018,207
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,12/02/2018,623.22
Commercial Services,ICT,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,22/02/2018,698
