Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,1067.24,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,550,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,8311.13,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,538.45,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,868.4,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,28053.7,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,15/04/2013,1256.77,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,22/04/2013," 1,024.97 ",,,,,
Care & Support,Mental Health & Substance Misuse,HMAN,Supplies & Services,Other Expenses,FCC RECYCLING (UK) LIMITED,03/04/2013,215.15,,,,,
Care & Support,Mental Health & Substance Misuse,HMAN,Supplies & Services,Other Expenses,FCC RECYCLING (UK) LIMITED,03/04/2013,378.3,,,,,
Care & Support,Mental Health & Substance Misuse,HMAP,Supplies & Services,Mobile Phones,ORANGE PCS LTD,10/04/2013,135,,,,,
Care & Support,Mental Health & Substance Misuse,HMBB,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),03/04/2013,-231.49,,,,,
Care & Support,Mental Health & Substance Misuse,HMBB,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,398.79,,,,,
Care & Support,Mental Health & Substance Misuse,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,19/04/2013,3259.11,,,,,
Care & Support,Mental Health & Substance Misuse,HMBJ,Third Party Payments,Residential Expenditure,D B ROBERTS,08/04/2013,199.99,,,,,
Care & Support,Mental Health & Substance Misuse,HMBK,Third Party Payments,Private Contractors,HILBRAE PETS HOTEL,22/04/2013,203.5,,,,,
Care & Support,Mental Health & Substance Misuse,HMBK,Third Party Payments,Private Contractors,HILBRAE PETS HOTEL,19/04/2013,544.5,,,,,
Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,10/04/2013,390.72,,,,,
Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ARCO LIMITED,29/04/2013,192.96,,,,,
Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,08/04/2013,120,,,,,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,29/04/2013,183.88,,,,,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,05/04/2013,328.69,,,,,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,18/04/2013,152.12,,,,,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,05/04/2013,173.53,,,,,
Care & Support,Personalisation Support & Service Provision,HLBE,Supplies & Services,Television Licenses,TV LICENSING,25/04/2013,145.5,,,,,
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,18/04/2013,564.2,,,,,
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,02/04/2013,118.5,,,,,
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,02/04/2013,198.29,,,,,
Care & Support,Personalisation Support & Service Provision,HLDC,Capital Financing Costs,Leased Equipment,PHS GROUP LTD,15/04/2013,774.8,,,,,
Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,15/04/2013,731.8,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,10/04/2013,-7888.56,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,09/04/2013,460.01,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,12/04/2013,-460.01,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,16/04/2013,804.12,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,11/04/2013,648.05,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,09/04/2013,407.36,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,09/04/2013,347.85,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,BERWICK CARE EQUIPMENT LTD,11/04/2013,135,,,,,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Other Expenses,SITEWATCH,11/04/2013,367.71,,,,,
Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,RICOH UK LIMITED,11/04/2013,286.86,,,,,
Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,05/04/2013,500.14,,,,,
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP LTD,11/04/2013,208.04,,,,,
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,FCC RECYCLING (UK) LIMITED,05/04/2013,390.78,,,,,
Care & Support,Personalisation Support & Service Provision,HLEC,Supplies & Services,Equipment - Purchase,CARE SHOP,11/04/2013,305,,,,,
Care & Support,Personalisation Support & Service Provision,HLEC,Supplies & Services,Television Licenses,TV LICENSING,09/04/2013,145.5,,,,,
Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,18/04/2013,1785,,,,,
Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,18/04/2013,1725,,,,,
Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Gas,NPOWER BUSINESS,08/04/2013,293.47,,,,,
Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,08/04/2013,322.17,,,,,
Care & Support,Personalisation Support & Service Provision,HLEE,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,19/04/2013,468.97,,,,,
Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,11/04/2013,197.49,,,,,
Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Other Expenses,RENTOKIL INITIAL UK LIMITED,11/04/2013,166.51,,,,,
Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Other Expenses,ESE Direct,08/04/2013,655.5,,,,,
Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Translation Services,PEARL LINGUISTICS LTD,18/04/2013,311.95,,,,,
Care & Support,Personalisation Support & Service Provision,WHAF,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,23/04/2013,4320.69,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,10/04/2013,355,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Third Party Payments,Childminders,EARLYWORLD LIMITED,15/04/2013,412.5,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Third Party Payments,Childminders,ABC DAY NURSERY HOLLINSWOOD ,30/04/2013,210,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Third Party Payments,Childminders,EARLYWORLD LIMITED ,15/04/2013,150,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,10/04/2013,323.75,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,11/04/2013,126,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,11/04/2013,210,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Transport-Related Expenditure,Taxi Costs,CORKYS CARS,10/04/2013,600,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAB,Transport-Related Expenditure,Taxi Costs,CORKYS CARS,15/04/2013,765.4,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Supplies & Services,Telephones,SPECIALIST COMPUTERS CENTRES PLC,05/04/2013,238.4,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Third Party Payments,Childminders,PARKLANDS DAY NURSERY,15/04/2013,156,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Third Party Payments,Childminders,TOTS AND TODDLERS DAYCARE,24/04/2013,110,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,11/04/2013,330.8,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,11/04/2013,162,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,11/04/2013,223,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,11/04/2013,143,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAD,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,16/04/2013,110,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,SW Expertise,26/04/2013,774.8,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,Psyben Limited,04/04/2013,1120.22,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,12/04/2013,191.74,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,REDACATED PERSONAL INFORMATION,26/04/2013,2443,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,26/04/2013,1347.2,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,SW Expertise,29/04/2013,774.8,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,25/04/2013,4749.8,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,MEDIATION WORKS,26/04/2013,2000,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAE,Supplies & Services,Other Services,SW Expertise,26/04/2013,774.8,,,,,
Children's Safeguarding,Case Management & Children in Care,JMAH,Third Party Payments,Childminders,ABC DAY NURSERY HOLLINSWOOD ,11/04/2013,-687.5,,,,,
