Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/04/2013,158.16,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/04/2013,3052.14,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,LAWLEY & OVERDALE PARISH COUNCIL,11/04/2013,268.67,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),04/04/2013,1163.66,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (ELECTRICITY),11/04/2013,129.1,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),03/04/2013,117.78,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/04/2013,124.54,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/04/2013,20180.75,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,-472.31,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,-578.8,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,-2744.36,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,-518.94,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,-502.26,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),18/04/2013,797.37,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/04/2013,167.14,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,West Mercia Energy (WME),03/04/2013,221.97,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PHS GROUP LTD,11/04/2013,161.72,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,29/04/2013,156.48,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,29/04/2013,181.32,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,29/04/2013,173.68,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,29/04/2013,169.95,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,29/04/2013,183.6,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,FCC RECYCLING (UK) LIMITED,18/04/2013,378.3,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,12/04/2013,163,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,12/04/2013,112.5,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PROKILL UK LIMITED,16/04/2013,150,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES (TOOL HIRE & SALES) LTD,09/04/2013,240,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES,26/04/2013,1409.83,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES,26/04/2013,150,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,CONCEPT ELEVATORS (MIDLANDS) LIMITED,26/04/2013,195,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,11/04/2013,1302.12,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,09/04/2013,2595.76,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,09/04/2013,205.98,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,12/04/2013,111.54,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,LOCSAFE SECURITY SYSTEMS,23/04/2013,169,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Lift Source (UK) Limited,23/04/2013,240,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,23/04/2013,155,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES (TOOL HIRE & SALES) LTD,16/04/2013,530,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ZIP HEATERS (UK) LTD,23/04/2013,-243,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ZIP HEATERS (UK) LTD,23/04/2013,243,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,23/04/2013,220,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ERIC NEVILLE CATERING SUPPLIES LTD,11/04/2013,273,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,11/04/2013,150,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,23/04/2013,188.56,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,25/04/2013,255,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,ADT FIRE & SECURITY PLC,16/04/2013,408.05,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/04/2013,592.6,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,DTZ DEBENHAM TIE LEUNG,12/04/2013,-4500,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,DTZ CLIENT ACC RE:COMMON RECEIPTS NAT,22/04/2013,4500,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/04/2013,346.52,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,04/04/2013,240,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,10/04/2013,255,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,DTZ DEBENHAM TIE LEUNG,11/04/2013,4500,,,,,
"Development, Business & Housing",Property & Design,COAP,Supplies & Services,Security Services,DTZ DEBENHAM TIE LEUNG,12/04/2013,-4500,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Computer Hardware,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/04/2013,-1090,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Computer Hardware,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/04/2013,-1277.9,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,26/04/2013,330,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,JCE & SONS LTD,26/04/2013,670.59,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,757,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,872,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,757,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,JCE & SONS LTD,26/04/2013,1005.89,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,757,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,872,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,757,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,Burmatex Ltd,04/04/2013,301,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,23/04/2013,495,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,Purchase Card,12/04/2013,465,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,FINNIGAN & HARPER LIMITED,26/04/2013,13756,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,26/04/2013,905,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,16/04/2013,-1532,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,16/04/2013,-1532,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/04/2013,766.74,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/04/2013,511.16,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/04/2013,654,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/04/2013,436,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,CCS MEDIA LIMITED,26/04/2013,1375,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,26/04/2013,4723,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES,26/04/2013,492.52,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,AQUILA BUSINESS PRODUCTS LTD,11/04/2013,609.2,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,HARROW GREEN LIMITED,23/04/2013,356.77,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),23/04/2013,270,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,External Professional Fees,HOMES & COMMUNITIES AGENCY,16/04/2013,750,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,23/04/2013,198.49,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,JCE & SONS LTD,23/04/2013,332.5,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,Recycle IT 4 U Ltd,10/04/2013,1600,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,16/04/2013,-1532,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,724,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SYNETRIX LTD,26/04/2013,773,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SENATOR INTERNATIONAL,26/04/2013,522.83,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,THE MOBILE BASE COMPANY (SHROPSHIRE) LTD,23/04/2013,4454.75,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,04/04/2013,116.81,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,04/04/2013,1141.53,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,04/04/2013,2969.32,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,04/04/2013,122.27,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,04/04/2013,574.67,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,JORDAN LEWIS ASSOCIATES LTD,04/04/2013,783,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),04/04/2013,1430,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),04/04/2013,2017,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),04/04/2013,1687,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,04/04/2013,258.48,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Legal Fees,FREETH CARTWRIGHT LLP,11/04/2013,1480.9,,,,,
"Development, Business & Housing",Property & Design,WCAY,Capital Expenditure,Legal Fees,MILLS & REEVE,11/04/2013,3356.4,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,08/04/2013,12484,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,ROY HANKINSON LTD,08/04/2013,1550,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GRA-BERN,29/04/2013,4528.68,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CONCEPT ELEVATORS (MIDLANDS) LIMITED,29/04/2013,1466.75,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Environmental Essentials Ltd,29/04/2013,550,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,11/04/2013,6071.25,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,24/04/2013,2598.4,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/04/2013,726.08,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,NYKE ENERGY SERVICES LIMITED,17/04/2013,400,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,RM Green Installations,08/04/2013,9920,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CONCEPT ELEVATORS (MIDLANDS) LIMITED,24/04/2013,1944.55,,,,,
"Development, Business & Housing",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Bglobal Metering Limited,05/04/2013,13440,,,,,
"Development, Business & Housing",Property & Design,WCBC,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,05/04/2013,4762,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,KNOWLES,23/04/2013,3456.25,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,KNOWLES,08/04/2013,437.5,,,,,
"Development, Business & Housing",Property & Design,WCOA,Capital Expenditure,Payments to Contractor,MACE LTD,19/04/2013,2782,,,,,
"Development, Business & Housing",Property & Design,WFAM,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES,24/04/2013,260,,,,,
"Development, Business & Housing",Property & Design,WFAT,Capital Expenditure,Payments to Contractor,PREMIER CARPETS & FLOORING LTD,08/04/2013,1711,,,,,
"Development, Business & Housing",Property & Design,WGBS,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,10/04/2013,488.18,,,,,
"Development, Business & Housing",Property & Design,WGCB,Capital Expenditure,Payments to Contractor,Draft Wheelchairs Ltd,11/04/2013,578.82,,,,,
"Development, Business & Housing",Property & Design,WGCB,Capital Expenditure,Payments to Contractor,PODS,08/04/2013,300,,,,,
"Development, Business & Housing",Property & Design,WGCB,Capital Expenditure,Payments to Contractor,SIDHIL LIMITED,08/04/2013,1403,,,,,
"Development, Business & Housing",Property & Design,WGCB,Capital Expenditure,Fixtures & Fittings & Equipment,ACTION FOR CHILDREN LIMITED,24/04/2013,7072,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,GAS ALARM SYSTEMS LTD,11/04/2013,1129,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Fixtures & Fittings & Equipment,A3 MACHINES LIMITED,11/04/2013,1486.6,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Other Capital Expenditure,BARRY LOWE SURVEYS LTD,03/04/2013,425,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),11/04/2013,470,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,24/04/2013,600,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Plan Environment Services Fees,SHROPSHIRE COUNCIL,05/04/2013,795,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,NYKE ENERGY SERVICES LIMITED,24/04/2013,180,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,BARRY LOWE SURVEYS LTD,29/04/2013,425,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,24/04/2013,3482.5,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,24/04/2013,1492.5,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,04/04/2013,455,,,,,
"Development, Business & Housing",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,24/04/2013,400,,,,,
"Development, Business & Housing",Property & Design,WIHW,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,08/04/2013,8760,,,,,
"Development, Business & Housing",Property & Design,WINE,Capital Expenditure,Payments to Contractor,SHROPSHIRE HEATING SERVICES LTD,08/04/2013,8460.86,,,,,
"Development, Business & Housing",Property & Design,WPHL,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,08/04/2013,450,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,12/04/2013,1430,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,05/04/2013,450,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/04/2013,5400,,,,,
"Development, Business & Housing",Property & Design,WPHW,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/04/2013,3600,,,,,
"Development, Business & Housing",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,SDT ELECTRICAL LTD,12/04/2013,180,,,,,
"Development, Business & Housing",Property & Design,WPLL,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,05/04/2013,2298.21,,,,,
"Development, Business & Housing",Property & Design,WPLL,Capital Expenditure,Payments to Contractor,TELFORD BUILDING CONTRACTORS,12/04/2013,-30403.59,,,,,
"Development, Business & Housing",Property & Design,WPMO,Capital Expenditure,Payments to Contractor,TREBLE PUMPING SERVICES LTD,12/04/2013,5717,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,24/04/2013,393.75,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,24/04/2013,525,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,12/04/2013,945,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,24/04/2013,306.25,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,24/04/2013,306.25,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,24/04/2013,131.25,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,24/04/2013,393.75,,,,,
"Development, Business & Housing",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,KNOWLES,29/04/2013,393.75,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,11/04/2013,61313.69,,,,,
"Development, Business & Housing",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORDCHARD MANAGEMENT LTD,24/04/2013,495,,,,,
"Development, Business & Housing",Property & Design,WPQU,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,08/04/2013,115,,,,,
"Development, Business & Housing",Property & Design,WPRH,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES,02/04/2013,2120.5,,,,,
"Development, Business & Housing",Property & Design,WPRH,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES,02/04/2013,976.5,,,,,
"Development, Business & Housing",Property & Design,WPRH,Capital Expenditure,Payments to Contractor,NOBRIDGE LTD,08/04/2013,8090,,,,,
"Development, Business & Housing",Property & Design,WPSW,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,12/04/2013,15375,,,,,
"Development, Business & Housing",Property & Design,WPSW,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,08/04/2013,1037.45,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,12/04/2013,3454,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,08/04/2013,295,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,ALAN BROUGH ASSOCIATES,05/04/2013,1534,,,,,
"Development, Business & Housing",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,08/04/2013,1090,,,,,
"Development, Business & Housing",Property & Design,WPWB,Capital Expenditure,Payments to Contractor,G LEDDINGTON (ELECTRICAL) LTD,12/04/2013,394,,,,,
"Development, Business & Housing",Strategic Housing,DHAL,Supplies & Services,Comp Software (Purch / Hire),CAPITA BUSINESS SERVICES LTD,11/04/2013,5767.97,,,,,
"Development, Business & Housing",Strategic Housing,EWAJ,Employees,Professional Subs,R T P I,26/04/2013,245,,,,,
"Development, Business & Housing",Strategic Housing,EWAJ,Supplies & Services,Computer Software (Maint),PHOENIX SOFTWARE LTD,02/04/2013,877.8,,,,,
"Development, Business & Housing",Strategic Housing,EWAJ,Supplies & Services,Research Surveys,Housing Vision Ltd,08/04/2013,3880,,,,,
"Development, Business & Housing",Strategic Housing,EWAJ,Supplies & Services,Research Surveys,The Mersey Forest,08/04/2013,4650,,,,,
"Development, Business & Housing",Strategic Housing,EWAJ,Supplies & Services,Research Surveys,WYG Planning & Environment,08/04/2013,6091.25,,,,,
"Development, Business & Housing",Strategic Housing,EWAK,Supplies & Services,Service Contracts,Marches Energy Agency,12/04/2013,2000,,,,,
"Development, Business & Housing",Strategic Housing,EWAK,Supplies & Services,Research Surveys,Holt's Tree Care Ltd,24/04/2013,480,,,,,
"Development, Business & Housing",Strategic Housing,EWAK,Supplies & Services,Research Surveys,Holt's Tree Care Ltd,24/04/2013,300,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,STANNAH LIFT SERVICES LTD,12/04/2013,1304.41,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,STANNAH LIFT SERVICES LTD,03/04/2013,3904.91,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,162,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,162,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,162,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,162,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,102,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,102,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,102,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,08/04/2013,102,,,,,
"Development, Business & Housing",Strategic Housing,WDAF,Capital Expenditure,Other Capital Expenditure,THE WREKIN HOUSING TRUST,17/04/2013,102,,,,,
