Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,174.82
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,169.74
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,121.66
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,139.04
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,187.62
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,137.51
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,17/09/2014,289.60
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,03/09/2014,281.86
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,03/09/2014,196.86
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,23/09/2014,137.70
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,23/09/2014,258.00
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,188.54
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,336.74
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,109.03
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,410.80
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,384.47
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,182.95
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,605.27
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,135.98
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,172.38
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,393.07
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,479.63
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,180.43
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,285.38
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,106.88
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,12/09/2014,325.94
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,133.10
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,103.29
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,129.26
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,142.7
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,166.45
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,358.13
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,249.06
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,212.48
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,543.5
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,196.52
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,169.95
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,19/09/2014,104.54
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,213.57
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,294.5
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,104.12
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,326.35
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,776.27
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,120.37
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,157.82
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,124.55
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,26/09/2014,127.9
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,234.69
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,623.14
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,251.12
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,194.04
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,169.01
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,211.83
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,212.99
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,314.66
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,113.43
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,117.63
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,216.27
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,493.12
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,08/09/2014,290.02
Customer Services,Catering,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/09/2014,-138.80
Customer Services,Catering,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/09/2014,115.93
Customer Services,Catering,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/09/2014,104.28
Customer Services,Catering,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,16/09/2014,145.28
Customer Services,Catering,CASS,Supplies & Services,Equipment - Repair,NATIONWIDE RETAIL SYSTEMS LTD,25/09/2014,601.00
Customer Services,Catering,CASS,Supplies & Services,Equipment - Repair,NATIONWIDE RETAIL SYSTEMS LTD,09/09/2014,107.00
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,23/09/2014,119.76
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/09/2014,119.76
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/09/2014,222.95
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/09/2014,169.66
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/09/2014,302.77
Customer Services,Catering,CASS,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,132.7
Customer Services,Catering,CASS,Supplies & Services,Provisions,ROWLANDS & COMPANY,08/09/2014,115.98
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,25/09/2014,498.60
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/09/2014,506.98
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/09/2014,101.70
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,25/09/2014,409.90
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,25/09/2014,409.90
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,25/09/2014,104.30
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,12/09/2014,191.12
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,12/09/2014,102.9
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,12/09/2014,102.94
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,12/09/2014,117
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,12/09/2014,194.68
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,19/09/2014,149.86
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,19/09/2014,121.46
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,19/09/2014,132.23
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,19/09/2014,220.71
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,19/09/2014,135.97
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,26/09/2014,166.6
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,26/09/2014,100.59
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,26/09/2014,113.63
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,08/09/2014,130.07
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,08/09/2014,220.57
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,08/09/2014,138.15
Customer Services,Catering,CHOL,Supplies & Services,Provisions,John Sheppard Catering Butchers,08/09/2014,117.5
Customer Services,Catering,CHOL,Supplies & Services,Provisions,ROWLANDS & COMPANY,05/09/2014,336.63
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,03/09/2014,110.81
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,22/09/2014,376.95
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/09/2014,173.2
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/09/2014,279.26
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/09/2014,147.94
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/09/2014,139.54
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/09/2014,140.02
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/09/2014,147.94
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,10/09/2014,312.3
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,10/09/2014,278.92
Customer Services,Catering,COMM,Supplies & Services,Provisions,Delice de France,29/09/2014,696.3
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,12/09/2014,116.49
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,12/09/2014,139.12
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,12/09/2014,300.53
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,12/09/2014,186.13
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,19/09/2014,141.01
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,19/09/2014,119.71
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,19/09/2014,222.87
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,19/09/2014,125.18
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,19/09/2014,135.77
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,26/09/2014,109.82
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,26/09/2014,207.15
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,26/09/2014,130.41
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,08/09/2014,173.77
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,08/09/2014,247.13
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,08/09/2014,180.44
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,08/09/2014,184.57
Customer Services,Catering,COMM,Supplies & Services,Provisions,Gills Puddings Ltd,26/09/2014,132.4
Customer Services,Catering,COMM,Supplies & Services,Provisions,Gills Puddings Ltd,29/09/2014,252.35
Customer Services,Catering,COMM,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/09/2014,-116.38
Customer Services,Catering,COMM,Supplies & Services,Equipment - Hire,SIEMENS FINANCIAL SERVICES LTD,29/09/2014,553.74
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Brambles Foods Ltd,03/09/2014,310.09
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Brambles Foods Ltd,03/09/2014,171.92
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Delice de France,25/09/2014,123.44
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Delice de France,25/09/2014,154.3
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,12/09/2014,396.02
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,12/09/2014,238.04
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,19/09/2014,236.37
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,19/09/2014,108.36
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,26/09/2014,136.5
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,26/09/2014,125.74
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,08/09/2014,240.82
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,08/09/2014,834.65
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,08/09/2014,100.28
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,08/09/2014,216.12
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,08/09/2014,542.1
Customer Services,Catering,LEIC,Supplies & Services,Provisions,P & H SNACKS DIRECT LTD,25/09/2014,134.97
Customer Services,Catering,LEIC,Supplies & Services,Equipment - Hire,SIEMENS FINANCIAL SERVICES LTD,29/09/2014,553.73
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,25/09/2014,939.2
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,25/09/2014,735
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,25/09/2014,365
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,25/09/2014,170
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,09/09/2014,170
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,09/09/2014,547.8
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,25/09/2014,300.32
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,25/09/2014,257.08
Customer Services,Customer & Registrars Services,LMAA,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,16/09/2014,2295
Customer Services,Customer & Registrars Services,LMAA,Supplies & Services,Web Services,JADU LIMITED,29/09/2014,4860
Customer Services,Customer & Registrars Services,LMAA,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,154.28
Customer Services,Customer & Registrars Services,LMAG,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,22/09/2014,116.5
Customer Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Purchase,F J BLISSETT & CO LTD,17/09/2014,1272
Customer Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Hire,OASIS INTERIOR LANDSCAPING,22/09/2014,332.85
Customer Services,Customer & Registrars Services,LSAA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,18/09/2014,137.69
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,15/09/2014,2424.95
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,15/09/2014,2771.86
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,15/09/2014,347.14
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,15/09/2014,187.1
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,15/09/2014,849.7
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,NOBRIDGE LTD,09/09/2014,3351.81
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,TELFORD & WREKIN SERVICES LTD,24/09/2014,6069.19
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,TELFORD & WREKIN SERVICES LTD,29/09/2014,6069.16
Customer Services,Facilities Management and Cleaning Services,CFAD,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,12/09/2014,18226.76
Customer Services,Facilities Management and Cleaning Services,CFAM,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,09/09/2014,176.19
Customer Services,Facilities Management and Cleaning Services,CFAV,Premises-Related Expenditure,R&M - Electrical,INTERSERVE (FACILITIES MANAGEMENT) LTD,22/09/2014,111.26
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,Preventative Maintenance,ACUTE SALES LIMITED,11/09/2014,550
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M - Electrical,Direct365,01/09/2014,218
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,24/09/2014,-108.33
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,25/09/2014,269.76
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,25/09/2014,235.37
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,25/09/2014,108.33
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,WHF Rainscreen Ltd,23/09/2014,169.74
Customer Services,Facilities Management and Cleaning Services,CFAY,Supplies & Services,Equipment - Hire,DCI RECYCLING,10/09/2014,116.67
Customer Services,Facilities Management and Cleaning Services,CFAY,Supplies & Services,Protective Clothing,MAIN MAN SUPPLIES LTD,11/09/2014,122.75
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,11/09/2014,125.68
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,02/09/2014,107.9
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/09/2014,188.44
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/09/2014,112.76
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/09/2014,184.96
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/09/2014,267.3
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/09/2014,109.52
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/09/2014,133.2
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/09/2014,204.32
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/09/2014,107.95
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/09/2014,121.44
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/09/2014,104.92
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,29/09/2014,157.16
Customer Services,Facilities Management and Cleaning Services,CLCM,Supplies & Services,Equipment - Repair,THE CLEAN MACHINE DIRECT LTD,26/09/2014,162.17
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/09/2014,223.58
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/09/2014,100.49
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,26/09/2014,152.6
Customer Services,Facilities Management and Cleaning Services,CLSS,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/09/2014,207.62
Customer Services,ICT,CBAF,Supplies & Services,Telecomms,Airband Community Internet,25/09/2014,295
Customer Services,ICT,CBAF,Supplies & Services,Telecomms,Airband Community Internet,26/09/2014,295
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,5805.86
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,835.8
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,1737.68
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,16287.51
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,170.62
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,1452.34
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,1166.12
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,17/09/2014,376.25
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/09/2014,1866
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/09/2014,350
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/09/2014,457
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,02/09/2014,1244
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,03/09/2014,1371
Customer Services,ICT,CBAG,Supplies & Services,Other Expenses,PROCESS FLOWS UK LTD,17/09/2014,291.15
Customer Services,ICT,CBAG,Supplies & Services,Telephones,SYNETRIX LTD,16/09/2014,560
Customer Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,11/09/2014,7138.45
Customer Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,11/09/2014,10273.45
Customer Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,11/09/2014,10013.77
Customer Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,11/09/2014,9999.69
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,30/09/2014,140
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,30/09/2014,400
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,30/09/2014,240
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,30/09/2014,120
Customer Services,ICT,CBAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,25/09/2014,454
Customer Services,ICT,CBAH,Supplies & Services,Telecomms,Airband Community Internet,01/09/2014,650
Customer Services,ICT,CBAH,Supplies & Services,Telecomms,Airband Community Internet,01/09/2014,295
Customer Services,ICT,CBAH,Supplies & Services,Telecomms,Airband Community Internet,26/09/2014,650
Customer Services,ICT,CBAH,Supplies & Services,Telecomms,Airband Community Internet,01/09/2014,295
Customer Services,ICT,CBAJ,Premises-Related Expenditure,R&M -Building Other,BRITISH GAS BUSINESS (GU45 1AW),03/09/2014,116.23
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,01/09/2014,500
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,24/09/2014,295
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,26/09/2014,250
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,26/09/2014,500
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,26/09/2014,700
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,26/09/2014,250
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,01/09/2014,250
Customer Services,ICT,CBAJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,17/09/2014,3816.03
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,CAPITA IT SERVICES LIMITED,19/09/2014,7372.31
Customer Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,369.11
Customer Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,2830.44
Customer Services,ICT,CBAJ,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,459.12
Customer Services,ICT,CBAJ,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,03/09/2014,241.56
Customer Services,ICT,CBAJ,Supplies & Services,Comp Hardware (Purch / Hire),SPECIALIST COMPUTERS CENTRES PLC,24/09/2014,7506
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),UNIT4 BUSINESS SOFTWARE LTD,24/09/2014,634.07
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,545.79
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,356.71
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,620.33
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,545.79
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,356.71
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,545.79
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,356.71
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,545.79
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,525.94
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,18638.52
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,496.21
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,356.71
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,496.21
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,545.79
