Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,20/05/2013,656.23,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,28/05/2013,629.48,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,17/05/2013,602.17,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,17/05/2013,540,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,28/05/2013,397.83,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,03/05/2013,265,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,17/05/2013,216,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,EDRYD JENKINS (ELECTRICAL) LTD,28/05/2013,190.24,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,03/05/2013,163.77,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,28/05/2013,158.58,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,ERIC NEVILLE CATERING SUPPLIES LTD,29/05/2013,135.15,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,09/05/2013,135,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,ERIC NEVILLE CATERING SUPPLIES LTD,17/05/2013,129.66,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,EDRYD JENKINS (ELECTRICAL) LTD,28/05/2013,127.61,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,ERIC NEVILLE CATERING SUPPLIES LTD,17/05/2013,120,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,28/05/2013,119.74,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,28/05/2013,117.95,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,03/05/2013,107.17,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,28/05/2013,104.5,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,HERRON CLEANING SERVICES,29/05/2013,193.44,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,HERRON CLEANING SERVICES,29/05/2013,182,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,BRITISH GAS SERVICES (COMMERCIAL) LTD,28/05/2013,157.5,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,BRITISH GAS SERVICES (COMMERCIAL) LTD,28/05/2013,157.5,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),08/05/2013,1822.38,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),08/05/2013,1776.34,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),08/05/2013,1441.21,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,4336.78,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,891,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,-833.33,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,23/05/2013,389,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,25/05/2013,139.69,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Service Contracts,BRITISH GAS SERVICES (COMMERCIAL) LTD,03/05/2013,160.5,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,16/05/2013,274.27,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,14/05/2013,183.03,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,03/05/2013,180.05,
"Development, Business & Housing",Property & Design,COAJ,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS (ELECTRICITY),24/05/2013,1584.33,
"Development, Business & Housing",Property & Design,COAJ,Premises-Related Expenditure,Gas,West Mercia Energy (WME),24/05/2013,233.76,
"Development, Business & Housing",Property & Design,COAJ,Premises-Related Expenditure,Gas,West Mercia Energy (WME),02/05/2013,-110.24,
"Development, Business & Housing",Property & Design,COAJ,Premises-Related Expenditure,Gas,West Mercia Energy (WME),16/05/2013,-166.48,
"Development, Business & Housing",Property & Design,COAJ,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,02/05/2013,198.99,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),23/05/2013,240.27,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PRINCIPAL HYGIENE SYSTEMS,08/05/2013,219.55,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PRINCIPAL HYGIENE SYSTEMS,08/05/2013,155.4,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),30/05/2013,141.14,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,OCEAN CONTRACT CLEANING LTD,14/05/2013,3321.46,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,14/05/2013,677.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,14/05/2013,677.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,14/05/2013,677.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,14/05/2013,677.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contributions to Premises-related Provisions,CANNON,23/05/2013,646.92,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),30/05/2013,4230.44,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),22/05/2013,806.64,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/05/2013,733.89,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/05/2013,598.16,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/05/2013,377.62,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/05/2013,-422.67,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/05/2013,-669.43,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/05/2013,-821.43,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),16/05/2013,2213.44,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),20/05/2013,2128.61,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),23/05/2013,2085.19,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),20/05/2013,1591.65,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),16/05/2013,1082.08,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),16/05/2013,1009.35,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),16/05/2013,826.99,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),16/05/2013,811.56,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),23/05/2013,783,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),08/05/2013,762.65,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),23/05/2013,663.07,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),23/05/2013,659.02,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),23/05/2013,645.8,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),16/05/2013,558.64,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),08/05/2013,479.22,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),23/05/2013,334.57,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,3540.39,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,3106.99,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,1917.7,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),22/05/2013,1872.72,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS,25/05/2013,931.81,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,903.69,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,806.91,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,654.22,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,636.6,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,603.26,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,03/05/2013,590.99,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,14/05/2013,580.99,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,558.59,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,521.95,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS,03/05/2013,519.75,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,485.92,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,473.47,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,468.63,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS,03/05/2013,399.05,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,353.14,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,345.82,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,341.04,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,294.5,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),30/05/2013,280.08,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,03/05/2013,253.28,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,14/05/2013,249,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS,25/05/2013,243.37,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,209.08,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,200.33,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,181.82,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BUDGET GAS LTD,15/05/2013,178.26,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,177.18,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,175.49,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),08/05/2013,173.07,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (ELECTRICITY),03/05/2013,150.11,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,145.19,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/05/2013,132.31,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Hygiene Services,PHS GROUP LTD,23/05/2013,120.36,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Non Domestic Rates,CYNGOR GWYNEDD COUNCIL,01/05/2013,1601,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,23/05/2013,5077,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,08/05/2013,1715.86,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,01/05/2013,1541.81,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SPORTFIX LTD,16/05/2013,1399.89,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,03/05/2013,1188.19,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,03/05/2013,1165.54,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUA LEISURE LIMITED,08/05/2013,995,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,16/05/2013,932.65,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,01/05/2013,858.68,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUA LEISURE LIMITED,25/05/2013,785,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,23/05/2013,767.61,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,20/05/2013,767.08,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,14/05/2013,750,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,01/05/2013,740.82,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,01/05/2013,714.67,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,03/05/2013,695,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,20/05/2013,688.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,03/05/2013,674.6,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,01/05/2013,673.45,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES (TOOL HIRE & SALES) LTD,14/05/2013,662.5,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,14/05/2013,660,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,637.03,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,01/05/2013,551.95,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES (TOOL HIRE & SALES) LTD,24/05/2013,530,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,08/05/2013,516.71,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,16/05/2013,464.38,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/05/2013,453.17,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,25/05/2013,448.09,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,03/05/2013,443.94,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,423.59,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,01/05/2013,383.69,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/05/2013,374.56,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,24/05/2013,368.85,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,22/05/2013,365.37,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,361.63,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,23/05/2013,340.05,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,03/05/2013,320.24,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,08/05/2013,278.77,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,25/05/2013,253.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,03/05/2013,250.8,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,23/05/2013,234.29,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,215.6,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,08/05/2013,215.05,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,EDRYD JENKINS (ELECTRICAL) LTD,14/05/2013,215,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,25/05/2013,207,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,01/05/2013,201.23,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,03/05/2013,195,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,01/05/2013,193.66,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,08/05/2013,190.5,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,189.55,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Protec Fire Detection PLC,23/05/2013,182.93,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ARJOHUNTLEIGH UK,25/05/2013,181.08,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,179.97,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,16/05/2013,170,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,24/05/2013,166.2,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,159.93,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RENTOKIL INITIAL UK LIMITED,16/05/2013,156.26,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,01/05/2013,155,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,03/05/2013,154.19,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,08/05/2013,152.5,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,24/05/2013,142.22,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Protec Fire Detection PLC,25/05/2013,141.17,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,08/05/2013,138,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,136.93,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Protec Fire Detection PLC,23/05/2013,127.56,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,23/05/2013,127.19,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,127,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,23/05/2013,124.6,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,EDRYD JENKINS (ELECTRICAL) LTD,14/05/2013,120.6,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,08/05/2013,120,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,HORTON AUTOMATICS LTD,16/05/2013,120,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,03/05/2013,120,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/05/2013,117.6,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,01/05/2013,116.84,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,14/05/2013,115.73,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/05/2013,115.24,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/05/2013,110.49,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,22/05/2013,106.25,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/05/2013,103.5,
